"","drugs","rank.inact","rank.act","score"
"1","BRD4132",257,170,427
"2","BRD6340",167,433,600
"3","BRD9876",236,185,421
"4","TACROLIMUS",160,254,414
"5","IC-87114",300,10,310
"6","AM-580",233,55,288
"7","NSC30930",147,111,258
"8","CID-5951923",240,448,688
"9","GW-843682X",296,137,433
"10","TEMOZOLOMIDE",265,27,292
"11","NILOTINIB",339,22,361
"12","CI-976",196,58,254
"13","KI8751",231,121,352
"14","OXALIPLATIN",319,297,616
"15","L-685458",342,66,408
"16","16-BETA-BROMOANDROSTERONE",229,279,508
"17","PANDACOSTAT",72,162,234
"18","BRD-K85133207",3,228,231
"19","ERISMODEGIB",260,275,535
"20","QUIZARTINIB",413,115,528
"21","BRD-K48477130",408,186,594
"22","GSK4112",277,232,509
"23","TRETINOIN:NAVITOCLAX (4:1 MOL/MOL)",390,376,766
"24","PALMOSTATIN B",217,145,362
"25","BRD-K99006945",107,159,266
"26","ISTRADEFYLLINE",416,205,621
"27","BRD-K42260513",370,126,496
"28","BCL-LZH-4",434,108,542
"29","PF-4800567 HYDROCHLORIDE",385,273,658
"30","AC55649",69,53,122
"31","NINTEDANIB",353,392,745
"32","BRD8899",220,183,403
"33","SZ4TA2",435,82,517
"34","BRD-A05715709",414,84,498
"35","AZACITIDINE",372,406,778
"36","SIROLIMUS",205,48,253
"37","DOCETAXEL",362,321,683
"38","TRAMETINIB",282,11,293
"39","DABRAFENIB",338,16,354
"40","NPC-26",324,37,361
"41","PLATIN",365,285,650
"42","ISONICOTINOHYDROXAMIC ACID",287,79,366
"43","LEPTOMYCIN B",50,59,109
"44","SU11274",405,214,619
"45","DOCETAXEL:TANESPIMYCIN (2:1 MOL/MOL)",361,122,483
"46","JW-480",259,200,459
"47","CBB-1007",242,184,426
"48","CR-1-31B",228,77,305
"49","BORTEZOMIB",318,225,543
"50","ISOEVODIAMINE",433,188,621
"51","NAVITOCLAX:GEMCITABINE (1:1 MOL/MOL)",209,289,498
"52","DINACICLIB",430,45,475
"53","GEMCITABINE",106,231,337
"54","SNX-2112",388,30,418
"55","LENVATINIB",336,224,560
"56","BRD-K71781559",341,57,398
"57","PARBENDAZOLE",407,94,501
"58","ML006",337,393,730
"59","YM-155",360,75,435
"60","GMX-1778",258,60,318
"61","COMPOUND 1541A",429,52,481
"62","TANESPIMYCIN",212,71,283
"63","PLX-4032",270,128,398
"64","LBH-589",387,236,623
"65","KX2-391",173,24,197
"66","TAMATINIB",426,313,739
"67","NVP-BEZ235",268,28,296
"68","DAPORINAD",386,85,471
"69","SR-II-138A",292,12,304
"70","NSC19630",428,134,562
"71","VINCRISTINE",423,276,699
"72","VELIPARIB",427,178,605
"73","BREFELDIN A",327,3,330
"74","PLURIPOTIN",186,148,334
"75","TANESPIMYCIN:BORTEZOMIB (250:1 MOL/MOL)",392,110,502
"76","BRD-K50799972",383,21,404
"77","TRIPTOLIDE",201,106,307
"78","AZD8055",432,89,521
"79","TANESPIMYCIN:GEMCITABINE (1:1 MOL/MOL)",410,131,541
"80","ALVOCIDIB",399,35,434
"81","NAVITOCLAX:PLURIPOTIN (1:1 MOL/MOL)",431,25,456
"82","KH-CB19",250,351,601
"83","RIGOSERTIB",303,113,416
"84","BI-2536",422,299,721
"85","BRD-K90370028",424,31,455
"86","PD318088",286,154,440
"87","THALIDOMIDE",425,2,427
"88","AGK-2",420,290,710
"89","NAVITOCLAX:BIRINAPANT (1:1 MOL/MOL)",397,215,612
