"","drugs","rank.inact","rank.act","score"
"12","BRD-K85133207",3,6,1.26227208976157
"196","JQ-1:VORINOSTAT (2:1 MOL/MOL)",26,24,7.01262272089762
"239","ELOCALCITOL",40,32,10.0981767180926
"172","ML311",77,2,11.0799438990182
"143","KU-0063794",37,56,13.0434782608696
"171","PHA-793887",88,5,13.0434782608696
"134","PL-DI",85,18,14.4460028050491
"208","CAY10594",10,104,15.9887798036466
"169","CRIZOTINIB",79,37,16.2692847124825
"133","ENTINOSTAT",111,13,17.3913043478261
"101","TRETINOIN:CARBOPLATIN (2:1 MOL/MOL)",133,8,19.7755960729313
"231","BRD-K51490254",54,91,20.3366058906031
"251","CARBOPLATIN",46,102,20.7573632538569
"226","ML162",82,67,20.8976157082749
"174","APICIDIN",48,107,21.7391304347826
"228","STEMREGENIN 1",71,85,21.8793828892006
"253","BRD9647",35,121,21.8793828892006
"152","DECITABINE:NAVITOCLAX (2:1 MOL/MOL)",100,61,22.5806451612903
"210","TG-101348",143,19,22.7208976157083
"198","CERANIB-2",145,20,23.1416549789621
"232","MGCD-265",92,74,23.2819074333801
"141","CYTOCHALASIN B",150,17,23.422159887798
"149","NAVITOCLAX:SORAFENIB (1:1 MOL/MOL)",128,42,23.8429172510519
"257","KU-60019",120,50,23.8429172510519
"284","SJ-172550",25,145,23.8429172510519
"168","AFATINIB",101,71,24.1234221598878
"269","ML050",38,136,24.4039270687237
"90","BRD-K07442505",75,100,24.5441795231417
"180","BMS-345541",51,128,25.1051893408135
"295","BMS-270394",96,86,25.5259467040673
"223","AXITINIB",62,127,26.507713884993
"111","IMPORTAZOLE",180,11,26.7882187938289
"181","VORINOSTAT",138,54,26.9284712482468
"244","BRD-K34222889",166,26,26.9284712482468
"155","ERLOTINIB",156,38,27.2089761570827
"14","RUXOLITINIB",5,190,27.3492286115007
"288","BRD-K55116708",18,179,27.6297335203366
"262","BRD-K35604418",6,198,28.6115007012623
"259","BRD-K26531177",148,57,28.7517531556802
"202","AZD7545",86,120,28.8920056100982
"252","IMATINIB",52,155,29.0322580645161
"25","LEPTOMYCIN B",50,159,29.312762973352
"225","LAPATINIB",174,35,29.312762973352
"292","ML320",175,45,30.8555399719495
"159","FORETINIB",30,193,31.2762973352034
"137","BRD-K63431240",141,84,31.5568022440393
"138","OSI-027",139,87,31.6970546984572
"166","GEFITINIB",58,170,31.9775596072931
"170","LINSITINIB",36,192,31.9775596072931
"279","BETULINIC ACID",213,15,31.9775596072931
