"","drugs","rank.inact","rank.act","score"
"1","BRD4132",1,195,23.0317273795535
"2","SB-743921",2,429,50.6462984723854
"3","KH-CB19",3,253,30.0822561692127
"4","NAVITOCLAX:PIPERLONGUMINE (1:1 MOL/MOL)",4,423,50.1762632197415
"5","SELUMETINIB:BRD-A02303741 (4:1 MOL/MOL)",5,248,29.7297297297297
"6","CURCUMIN",6,418,49.8237367802585
"7","BRD-K45681478",7,307,36.8977673325499
"8","ERLOTINIB",8,288,34.7826086956522
"9","BRD-K04800985",9,204,25.0293772032902
"10","SB-431542",10,181,22.4441833137485
"11","ABT-199",11,376,45.475910693302
"12","COMPOUND 1541A",12,6,2.11515863689777
"13","BRD6340",13,22,4.11280846063455
"14","PDMP",14,428,51.9388954171563
"15","TANDUTINIB",15,116,15.3936545240893
"16","TANESPIMYCIN",16,231,29.0246768507638
"17","PARTHENOLIDE",17,170,21.9741480611046
"18","PIPERLONGUMINE:MST-312 (1:1 MOL/MOL)",18,442,54.0540540540541
"19","UNC0638",19,443,54.289071680376
"20","BORTEZOMIB",20,141,18.9189189189189
"21","GSK525762A",21,262,33.2549941245593
"22","KU-0063794",22,212,27.497062279671
"23","BRD-K94991378",23,351,43.9482961222092
"24","TACEDINALINE",24,238,30.7873090481786
"25","NPC-26",25,180,24.0893066980023
"26","NELARABINE",26,243,31.6098707403055
"27","SID 26681509",27,360,45.475910693302
"28","BRD-K19103580",28,344,43.7132784958872
"29","SELUMETINIB:TRETINOIN (2:1 MOL/MOL)",29,380,48.0611045828437
"30","BRD-K35604418",30,368,46.7685076380729
"31","JQ-1:UNC0638 (2:1 MOL/MOL)",31,223,29.8472385428907
"32","GEFITINIB",32,430,54.289071680376
"33","CHLORAMBUCIL",33,57,10.5757931844888
"34","TOPOTECAN",35,28,7.40305522914219
"35","THALIDOMIDE",36,19,6.46298472385429
"36","PF-3758309",37,239,32.4324324324324
"37","I-BET151",38,403,51.8213866039953
"38","NERATINIB",39,358,46.6509988249119
"39","NVP-TAE684",40,361,47.1210340775558
"40","VORINOSTAT:NAVITOCLAX (4:1 MOL/MOL)",41,372,48.5311398354877
"41","NVP-BSK805",42,329,43.5957696827262
"42","NVP-ADW742",43,286,38.6603995299647
"43","ML239",44,387,50.6462984723854
"44","MLN2238",45,172,25.4994124559342
"45","MGCD-265",46,197,28.5546415981199
"46","PD318088",47,164,24.7943595769683
"47","CERULENIN",48,420,54.9941245593419
"48","VU0155056",49,106,18.213866039953
"49","PAC-1",50,119,19.8589894242068
"50","ETOMOXIR",51,35,10.1057579318449
"51","GDC-0941",52,169,25.9694477085781
"52","SR-II-138A",53,15,7.99059929494712
"53","SOTRASTAURIN",54,287,40.0705052878966
"54","LINIFANIB",55,242,34.9001175088132
"55","BRD1812",56,129,21.7391304347826
"56","AGK-2",57,399,53.5840188014101
"57","VORINOSTAT:CARBOPLATIN (1:1 MOL/MOL)",58,185,28.5546415981199
"58","CHM-1",59,421,56.4042303172738
"59","ML162",60,44,12.2209165687427
"60","BRD-K66453893",61,335,46.5334900117509
"61","MANUMYCIN A",63,83,17.1562867215041
"62","CEDIRANIB",64,280,40.4230317273796
"63","ML258",65,18,9.75323149236193
"64","JQ-1:VORINOSTAT (2:1 MOL/MOL)",66,357,49.7062279670975
"65","ABT-737",67,240,36.075205640423
"66","SELUMETINIB:MK-2206 (8:1 MOL/MOL)",68,249,37.2502937720329
"67","SILDENAFIL",69,217,33.6075205640423
"68","PYRAZOLANTHRONE",70,87,18.448883666275
"69","BRD1835",71,289,42.3031727379554
"70","SERDEMETAN:SCH-529074 (1:1 MOL/MOL)",72,395,54.876615746181
"71","IMPORTAZOLE",73,445,60.8695652173913
"72","APICIDIN",74,424,58.5193889541716
"73","CHIR-99021",75,398,55.5816686251469
"74","BRD-K11533227",76,114,22.3266745005875
"75","SRT-1720",77,76,17.978848413631
"76","BMS-270394",78,40,13.8660399529965
"77","SGX-523",79,175,29.8472385428907
