"","drugs","rank.down","rank.up","score"
"5","BRD-K29313308",14,18,6.79405520169851
"9","XL765",20,27,9.97876857749469
"22","LBH-589",40,11,10.828025477707
"3","NAVITOCLAX",12,47,12.5265392781316
"19","B02",36,25,12.9511677282378
"26","GMX-1778",49,16,13.8004246284501
"8","PAZOPANIB",19,53,15.2866242038217
"1","SARACATINIB",5,75,16.9851380042463
"31","STEMREGENIN 1",56,28,17.8343949044586
"39","CYTOCHALASIN B",71,21,19.5329087048832
"51","TANESPIMYCIN:GEMCITABINE (1:1 MOL/MOL)",89,3,19.5329087048832
"44","DOXORUBICIN",78,15,19.7452229299363
"2","BMS-754807",11,84,20.1698513800425
"6","RITA",16,88,22.0806794055202
"20","NAVITOCLAX:BIRINAPANT (1:1 MOL/MOL)",38,69,22.7176220806794
"28","NAVITOCLAX:PLURIPOTIN (1:1 MOL/MOL)",52,59,23.5668789808917
"38","PI-103",70,41,23.5668789808917
"35","MK-1775",66,46,23.7791932059448
"50","BIX-01294",88,30,25.0530785562633
"42","NVP-TAE684",76,48,26.3269639065817
"49","BRD-K80183349",86,45,27.8131634819533
"55","CABOZANTINIB",98,34,28.0254777070064
"48","JQ-1",84,51,28.6624203821656
"27","HYPERFORIN",50,86,28.8747346072187
"63","WP1130",109,29,29.2993630573248
"53","GSK525762A",96,52,31.4225053078556
"16","PIFITHRIN-ALPHA",33,118,32.0594479830149
"14","REGORAFENIB",28,125,32.484076433121
"43","DECITABINE",77,76,32.484076433121
"21","NSC30930",39,123,34.3949044585987
"57","DBEQ",101,64,35.031847133758
"12","BRD6340",24,148,36.5180467091295
"37","DACARBAZINE",69,103,36.5180467091295
"45","MGCD-265",80,94,36.9426751592357
"17","TIVOZANIB",34,142,37.3673036093418
"83","16-BETA-BROMOANDROSTERONE",145,32,37.5796178343949
"80","ML050",137,43,38.2165605095541
"70","SORAFENIB",124,61,39.2781316348195
"7","PHA-793887",17,172,40.1273885350318
"86","AZD6482",152,38,40.3397027600849
"15","SELUMETINIB:JQ-1 (4:1 MOL/MOL)",31,161,40.7643312101911
"89","CAY10618",156,37,40.9766454352442
"81","ML083",140,55,41.4012738853503
"92","NAKITERPIOSIN",161,39,42.4628450106157
"73","SB-225002",129,72,42.6751592356688
"106","SR1001",182,19,42.6751592356688
"34","GEFITINIB",63,139,42.8874734607219
"40","SELUMETINIB:NAVITOCLAX (8:1 MOL/MOL)",72,130,42.8874734607219
"65","SERDEMETAN:SCH-529074 (1:1 MOL/MOL)",113,90,43.0997876857749
"25","SNX-2112",48,157,43.5244161358811
"61","IPR-456",106,102,44.1613588110403
"75","CICLOPIROX",131,78,44.3736730360934
"68","AZD7762",122,89,44.7983014861996
"102","BEXAROTENE",178,33,44.7983014861996
"122","NINTEDANIB",208,8,45.859872611465
"4","CARBOPLATIN:ETOPOSIDE (40:17 MOL/MOL)",13,204,46.072186836518
"11","SERDEMETAN",23,194,46.072186836518
"74","AXITINIB",130,91,46.9214437367304
"77","PIFITHRIN-MU",134,87,46.9214437367304
"10","VER-155008",22,200,47.1337579617834
"32","MK-0752",59,163,47.1337579617834
"54","TOPOTECAN",97,133,48.8322717622081
"13","PAC-1",25,206,49.0445859872611
"23","RUXOLITINIB",42,189,49.0445859872611
"47","SELUMETINIB:PIPERLONGUMINE (8:1 MOL/MOL)",83,149,49.2569002123142
"72","NERATINIB",126,106,49.2569002123142
"78","BRD-A02303741:CARBOPLATIN (1:1 MOL/MOL)",135,97,49.2569002123142
"30","TANDUTINIB",55,178,49.4692144373673
"36","VORAPAXAR",67,169,50.1061571125265
"18","I-BET151",35,205,50.9554140127389
"29","PIPERLONGUMINE",53,188,51.1677282377919
"121","GSK4112",207,35,51.380042462845
"62","MK-2206",108,137,52.0169851380042
"101","BRD-K88742110",175,70,52.0169851380042
"85","JQ-1:NAVITOCLAX (2:1 MOL/MOL)",148,99,52.4416135881104
"110","ML203",187,60,52.4416135881104
"24","BRD-K34222889",47,202,52.8662420382166
"108","ML006",184,66,53.0785562632696
"104","IC-87114",180,71,53.2908704883227
"76","FLUVASTATIN",133,119,53.5031847133758
"91","KU 0060648",160,92,53.5031847133758
"33","ML239",60,193,53.7154989384289
"118","ML258",203,50,53.7154989384289
"58","BRD-K35604418",103,152,54.140127388535
"129","NECROSTATIN-7",219,36,54.140127388535
"146","BRD8958",248,7,54.140127388535
"112","BRD-K07442505",193,63,54.3524416135881
"100","QUIZARTINIB",173,85,54.7770700636943
"124","VU0155056",210,56,56.4755838641189
"128","VELIPARIB",218,49,56.687898089172
"142","L-685458",241,26,56.687898089172
"46","JW-480",82,186,56.9002123142251
"69","TRIFLUOPERAZINE",123,147,57.3248407643312
"64","VORINOSTAT",111,160,57.5371549893843
"156","WAY-362450",270,1,57.5371549893843
"59","BRD-A71883111",104,173,58.8110403397028
"103","BRD-K03536150",179,98,58.8110403397028
"116","SELUMETINIB:UNC0638 (4:1 MOL/MOL)",200,77,58.8110403397028
"123","ISOX:BORTEZOMIB (250:1 MOL/MOL)",209,68,58.8110403397028
"158","BORTEZOMIB",272,6,59.0233545647558
"134","SEMAGACESTAT",225,54,59.2356687898089
"94","ITRACONAZOLE",164,117,59.6602972399151
"41","BOSUTINIB",75,207,59.8726114649682
"97","SELUMETINIB:PLX-4032 (8:1 MOL/MOL)",169,113,59.8726114649682
"56","FORETINIB",100,183,60.0849256900212
"162","PLATIN",278,5,60.0849256900212
"90","KU-55933",157,127,60.2972399150743
"164","SN-38",281,4,60.5095541401274
"66","ETOMOXIR",114,174,61.1464968152866
"155","SILDENAFIL",268,20,61.1464968152866
"84","MERCK60",146,144,61.5711252653928
"87","CURCUMIN",153,138,61.7834394904459
"96","SU11274",167,126,62.208067940552
"52","NEURONAL DIFFERENTIATION INDUCER III",91,203,62.4203821656051
"60","ML311",105,190,62.6326963906582
"159","TRETINOIN",273,23,62.8450106157113
"93","PF-573228",162,135,63.0573248407643
"114","CRIZOTINIB:PLX-4032 (2:1 MOL/MOL)",196,101,63.0573248407643
"107","PF-543",183,116,63.4819532908705
"170","BRD-K33199242",289,10,63.4819532908705
"71","PHLORETIN",125,180,64.755838641189
"153","DASATINIB",261,44,64.755838641189
"88","PROCHLORPERAZINE",154,153,65.1804670912951
"113","NILOTINIB",195,112,65.1804670912951
"95","BIBR-1532",166,143,65.6050955414013
"79","CRIZOTINIB",136,176,66.2420382165605
"115","TRIPTOLIDE",197,115,66.2420382165605
"82","TG-101348",142,171,66.4543524416136
"67","PARBENDAZOLE",118,196,66.6666666666667
"105","KU-60019",181,136,67.3036093418259
"135","NSC632839",226,95,68.1528662420382
"132","1S,3R-RSL-3",222,105,69.4267515923567
"120","KX2-391",206,122,69.6390658174098
"99","OSI-027",171,159,70.0636942675159
"133","PIK-93",223,110,70.7006369426752
"166","ML320",283,57,72.1868365180467
"161","SNX-2112:BORTEZOMIB (250:1 MOL/MOL)",277,65,72.6114649681529
"144","KW-2449",244,100,73.036093418259
"117","BRD-K85133207",202,146,73.8853503184713
"145","SB-431542",247,104,74.5222929936306
"111","ZEBULARINE",190,162,74.7346072186836
"137","TEMOZOLOMIDE",228,129,75.7961783439491
"138","PRL-3 INHIBITOR I",230,128,76.0084925690021
"165","BRD-K04800985",282,83,77.4946921443737
"98","LINIFANIB",170,198,78.1316348195329
"139","TRETINOIN:CARBOPLATIN (2:1 MOL/MOL)",237,131,78.1316348195329
"152","NSC48300",260,109,78.343949044586
"141","CERANIB-2",239,134,79.1932059447983
