"","drugs","rank.down","rank.up","score"
"653","BX-912",3,60,4.41485634197617
"543","GSK-3 INHIBITOR IX",38,39,5.39593552908199
"718","SEMAGACESTAT",61,27,6.16678346180799
"133","BELINOSTAT",43,53,6.72740014015417
"694","FGIN-1-27",44,67,7.77855641205326
"613","BLEOMYCIN (50 UM)",46,74,8.40925017519271
"604","IMPORTAZOLE",63,64,8.89978976874562
"259","LY-2183240",34,94,8.96986685353889
"571","BRD-K34099515",17,114,9.18009810791871
"535","EMBELIN",80,52,9.25017519271198
"619","GSK650394",90,45,9.4604064470918
"256","ISOX",78,70,10.3714085494043
"548","AZD4547",54,104,11.0721793973371
"716","UNC0638:NAVITOCLAX (1:1 MOL/MOL)",141,32,12.1233356692362
"589","LOVASTATIN",132,50,12.7540294323756
"136","PARBENDAZOLE",195,3,13.875262789068
"162","NAVITOCLAX:PLURIPOTIN (1:1 MOL/MOL)",153,54,14.5059565522074
"299","BRD-K71935468",164,43,14.5059565522074
"345","MARINOPYRROLE A",39,175,14.9964961457603
"464","SRT-1720",126,88,14.9964961457603
"524","GEFITINIB",179,36,15.0665732305536
"602","HC-067047",50,165,15.0665732305536
"426","JW-7-24-1",36,180,15.1366503153469
"667","TUBASTATIN A",33,183,15.1366503153469
"587","SILDENAFIL",152,72,15.6972669936931
"315","CHM-1",123,105,15.9775753328662
"629","QL-XI-92",68,164,16.2578836720392
"491","SELUMETINIB:PIPERLONGUMINE (8:1 MOL/MOL)",40,195,16.4681149264191
"113","DOXORUBICIN",249,13,18.3601962158374
"605","IU1",133,132,18.5704274702172
"46","THAPSIGARGIN",205,61,18.6405045550105
"246","YK 4-279",256,10,18.6405045550105
"309","CID-5951923",175,91,18.6405045550105
"696","KI8751",206,68,19.2011212333567
"715","BMS-195614",257,24,19.6916608269096
"169","BRD-K30019337",197,89,20.042046250876
"184","APICIDIN",246,40,20.042046250876
"528","BRD-K51490254",99,189,20.1822004204625
"29","SB-743921",188,101,20.2522775052558
"695","NSC30930",16,274,20.3223545900491
"498","BX795",114,179,20.5325858444289
"334","AZD1480",53,241,20.6026629292221
"600","FLUVASTATIN",19,284,21.2333566923616
"98","ALISERTIB:NAVITOCLAX (2:1 MOL/MOL)",300,4,21.3034337771549
"541","VANDETANIB",154,150,21.3034337771549
"626","BRD-K52037352",117,187,21.3034337771549
"370","PF-4800567 HYDROCHLORIDE",79,228,21.5136650315347
"557","ERLOTINIB:PLX-4032 (2:1 MOL/MOL)",289,19,21.583742116328
"437","CIL55A",176,135,21.7939733707078
"616","AZACITIDINE",172,139,21.7939733707078
"618","RUXOLITINIB",129,186,22.0742817098809
"146","PEVONEDISTAT",71,245,22.1443587946741
"440","DBEQ",83,236,22.354590049054
"635","LENALIDOMIDE",58,266,22.7049754730203
"180","FQI-2",309,18,22.9152067274001
"248","OBATOCLAX",255,75,23.12543798178
"701","COMPOUND 1541A",64,267,23.1955150665732
"14","GMX-1778",84,249,23.3356692361598
"422","MPS-1-IN-1",191,144,23.4758234057463
"647","XMD8-92",24,311,23.4758234057463
"537","TIVOZANIB",277,63,23.8262088297127
"481","NVP-TAE684",316,26,23.9663629992992
"433","BRD-K61166597",278,65,24.0364400840925
"332","ML334 DIASTEREOMER",70,278,24.3868255080589
"400","BRD-K33514849",89,260,24.4569025928521
"549","HLI 373",49,300,24.4569025928521
"573","PRL-3 INHIBITOR I",265,84,24.4569025928521
"423","NVP-231",234,116,24.5269796776454
"12","CI-976",183,171,24.8072880168185
"398","AVAGACESTAT",147,208,24.8773651016118
"280","MIDOSTAURIN",339,20,25.1576734407849
"424","SERDEMETAN:SCH-529074 (1:1 MOL/MOL)",67,293,25.2277505255781
"321","NVP-BEZ235",23,345,25.7883672039243
"352","PALMOSTATIN B",200,169,25.8584442887176
"565","TPCA-1",189,184,26.1387526278907
"566","MOMELOTINIB",105,269,26.208829712684
"561","MGCD-265",209,166,26.2789067974772
"595","NSC-207895",139,238,26.4190609670638
"615","BLEOMYCIN A2",75,306,26.6993693062369
"685","GW-2580",124,264,27.1899088997898
"516","XL765",317,73,27.3300630693763
"160","BARDOXOLONE METHYL",307,86,27.5402943237561
"264","JQ-1:VORINOSTAT (2:1 MOL/MOL)",252,141,27.5402943237561
"698","BRD-K96970199",5,388,27.5402943237561
"555","KIN001-266",227,168,27.6804484933427
"722","CETUXIMAB",101,294,27.6804484933427
"435","BLEOMYCIN",303,93,27.7505255781359
"601","ML320",97,302,27.9607568325158
"642","TOSEDOSTAT",8,394,28.1709880868956
"304","PIPERLONGUMINE",230,173,28.2410651716889
"489","CURCUMIN",199,205,28.3111422564821
"37","DOCETAXEL:TANESPIMYCIN (2:1 MOL/MOL)",229,176,28.3812193412754
"534","GSK1904529A",196,210,28.4512964260687
"155","CCT036477",245,162,28.5213735108619
"150","QL-XII-47",291,117,28.5914505956552
"161","EX-527",290,121,28.801681850035
"314","TW-37",104,308,28.8717589348283
"469","TAMOXIFEN",214,198,28.8717589348283
"703","BRD-K96431673",9,404,28.9418360196216
"552","CISPLATIN",91,323,29.0119131044149
"466","NPK76-II-72-1",155,262,29.2221443587947
"402","BAFILOMYCIN A1",109,309,29.2922214435879
"131","BRD-K03911514",169,256,29.7827610371409
"559","SALERMIDE:PLX-4032 (12:1 MOL/MOL)",143,285,29.9929922915207
"678","DMOG",32,396,29.9929922915207
"668","WHI-P97",56,374,30.1331464611072
"235","ISOEVODIAMINE",335,100,30.4835318850736
"512","PYRAZOLANTHRONE",287,149,30.5536089698669
"192","QL-X-138",327,110,30.6236860546601
"542","VER-155008",136,301,30.6236860546601
"558","KO-143",106,334,30.8339173090399
"335","BRD-A05715709",180,261,30.9039943938332
"255","CARBOPLATIN",213,229,30.9740714786265
"229","VX-11E",416,30,31.2543798177996
"384","Z-LLNLE-CHO",95,351,31.2543798177996
"444","CYTOCHALASIN B",251,197,31.3945339873861
"40","PRIMA-1-MET",73,376,31.4646110721794
"152","PLURIPOTIN",436,16,31.6748423265592
"442","LAPATINIB",131,321,31.6748423265592
"533","XMD13-2",233,222,31.885073580939
"538","CARBOPLATIN:UNC0638 (2:1 MOL/MOL)",159,296,31.885073580939
"550","ML050",48,408,31.9551506657323
"123","RAF265",451,6,32.0252277505256
"519","LINSITINIB",219,239,32.0953048353188
"431","SELUMETINIB:GDC-0941 (4:1 MOL/MOL)",228,232,32.2354590049054
"35","BIRB-796",462,2,32.5157673440785
"610","RO-3306",10,454,32.5157673440785
"430","ICL1100013",266,199,32.5858444288718
"521","BRD-A02303741:NAVITOCLAX (2:1 MOL/MOL)",353,112,32.5858444288718
"596","GW-405833",21,444,32.5858444288718
"22","ML258",433,35,32.7960756832516
"205","GDC-0941",315,153,32.7960756832516
"438","BMS-536924",146,322,32.7960756832516
"427","JQ-1:UNC0638 (2:1 MOL/MOL)",420,49,32.8661527680448
"614","BRD-K48334597",269,200,32.8661527680448
"447","CP466722",299,172,33.0063069376314
"20","YL54",356,120,33.3566923615978
"250","COMPOUND 7D-CIS",405,71,33.3566923615978
"693","BEC",140,336,33.3566923615978
"296","FORETINIB",88,389,33.426769446391
