"","inactive"
"BRD4132",179
"BRD6340",269
"BRD9876",200
"TACROLIMUS",276
"IC-87114",136
"AM-580",203
"NSC30930",289
"CID-5951923",196
"GW-843682X",140
"TEMOZOLOMIDE",171
"NILOTINIB",97
"CI-976",240
"KI8751",205
"OXALIPLATIN",117
"L-685458",94
"16-BETA-BROMOANDROSTERONE",207
"PANDACOSTAT",364
"BRD-K85133207",433
"ERISMODEGIB",176
"RUXOLITINIB",431
"QUIZARTINIB",23
"BRD-K48477130",28
"GSK4112",159
"TRETINOIN:NAVITOCLAX (4:1 MOL/MOL)",46
"SR1001",78
"PALMOSTATIN B",219
"BRD-K99006945",329
"ISTRADEFYLLINE",20
"BRD-K42260513",66
"BCL-LZH-4",2
"PF-4800567 HYDROCHLORIDE",51
"AC55649",367
"NINTEDANIB",83
"BRD8899",216
"SZ4TA2",1
"BRD-A05715709",22
"AZACITIDINE",64
"SIROLIMUS",231
"DOCETAXEL",74
"TRAMETINIB",154
"DABRAFENIB",98
"NPC-26",112
"PLATIN",71
"ISONICOTINOHYDROXAMIC ACID",149
"LEPTOMYCIN B",386
"SU11274",31
"DOCETAXEL:TANESPIMYCIN (2:1 MOL/MOL)",75
"JW-480",177
"CBB-1007",194
"CR-1-31B",208
"BORTEZOMIB",118
"ISOEVODIAMINE",3
"NAVITOCLAX:GEMCITABINE (1:1 MOL/MOL)",227
"DINACICLIB",6
"GEMCITABINE",330
"SNX-2112",48
"LENVATINIB",100
"BRD-K71781559",95
"PARBENDAZOLE",29
"ML006",99
"YM-155",76
"GMX-1778",178
"COMPOUND 1541A",7
"TANESPIMYCIN",224
"PLX-4032",166
"LBH-589",49
"KX2-391",263
"TAMATINIB",10
"NVP-BEZ235",168
"DAPORINAD",50
"SR-II-138A",144
"NSC19630",8
"VINCRISTINE",13
"VELIPARIB",9
"BREFELDIN A",109
"PLURIPOTIN",250
"TANESPIMYCIN:BORTEZOMIB (250:1 MOL/MOL)",44
"PROCARBAZINE",15
"BRD-K50799972",53
"TRIPTOLIDE",235
"AZD8055",4
"TANESPIMYCIN:GEMCITABINE (1:1 MOL/MOL)",26
"ALVOCIDIB",37
"NAVITOCLAX:PLURIPOTIN (1:1 MOL/MOL)",5
"KH-CB19",186
"RIGOSERTIB",133
"BI-2536",14
"BRD-K90370028",12
"PD318088",150
"THALIDOMIDE",11
"AGK-2",16
"NAVITOCLAX:BIRINAPANT (1:1 MOL/MOL)",39
"MK-1775",105
"OMACETAXINE MEPESUCCINATE",41
"CLOFARABINE",60
"ML210",52
"ZSTK474",88
"AZD7762",58
"BRD-A71883111",38
"NAVITOCLAX",79
"DOXORUBICIN:NAVITOCLAX (2:1 MOL/MOL)",25
"AZ-3146",84
"BRD-K37390332",90
"ITRACONAZOLE",195
"MLN2238",36
"SB-743921",45
"PRL-3 INHIBITOR I",121
"SNS-032",161
"SEMAGACESTAT",55
"SELUMETINIB:PIPERLONGUMINE (8:1 MOL/MOL)",116
"MANUMYCIN A",134
"HYPERFORIN",30
"BRD-K33199242",57
"UNC0321",92
"BRD-K28456706",43
"SELUMETINIB",59
"SELUMETINIB:PLX-4032 (8:1 MOL/MOL)",259
"BRD-K17060750",101
"MK-0752",34
"NAKITERPIOSIN",127
"CYTARABINE HYDROCHLORIDE",124
"COMPOUND 1B",54
"MYRICETIN",72
"DOXORUBICIN",152
"BRD-K11533227",18
"TOPOTECAN",32
"IU1",40
"ALISERTIB:NAVITOCLAX (2:1 MOL/MOL)",104
"C6-CERAMIDE",21
"PI-103",24
"SGX-523",69
"SELUMETINIB:UNC0638 (4:1 MOL/MOL)",189
"JQ-1",33
"SELUMETINIB:TRETINOIN (2:1 MOL/MOL)",251
"BRD-K07442505",361
"BRD-A02303741",237
"AT13387",204
"REPLIGEN 136",27
"SELUMETINIB:BRD-A02303741 (4:1 MOL/MOL)",187
"SELUMETINIB:NAVITOCLAX (8:1 MOL/MOL)",35
"ABT-199",277
"BIRINAPANT",123
"ML083",65
"TRIAZOLOTHIADIAZINE",114
"DECITABINE",188
"NELARABINE",63
